mean,se,margin_value,outcome,coef_ci
29.53693861813339,0.012238530477492314,exposed,bmi,"29.5 (29.5,29.6)"
28.9876323925867,0.012238530477492314,unexposed,bmi,"29 (29,29)"
29.052079096263057,0.012238530477492314,historical,bmi,"29.1 (29,29.1)"
124.59043194360942,0.03967614246378428,exposed,sbp,"124.6 (124.5,124.7)"
123.84597684256357,0.03967614246378428,unexposed,sbp,"123.8 (123.8,123.9)"
123.07915149625407,0.03967614246378428,historical,sbp,"123.1 (123,123.2)"
83.79746112015874,0.19198822344112448,exposed,ldl,"83.8 (83.4,84.2)"
74.49722859606123,0.19198822344112448,unexposed,ldl,"74.5 (74.1,74.9)"
86.18246059396988,0.19198822344112448,historical,ldl,"86.2 (85.8,86.6)"
