mean,se,margin_value,outcome,coef_ci
29.528463448501885,0.012238530477492314,exposed,bmi,"29.5 (29.5,29.6)"
28.945695371456118,0.012238530477492314,unexposed,bmi,"28.9 (28.9,29)"
29.058833668457016,0.012238530477492314,historical,bmi,"29.1 (29,29.1)"
125.00883454280404,0.03967614246378428,exposed,sbp,"125 (124.9,125.1)"
123.9894927497093,0.03967614246378428,unexposed,sbp,"124 (123.9,124.1)"
123.49350668769418,0.03967614246378428,historical,sbp,"123.5 (123.4,123.6)"
80.28327322233558,0.19198822344112448,exposed,ldl,"80.3 (79.9,80.7)"
71.73791045499256,0.19198822344112448,unexposed,ldl,"71.7 (71.4,72.1)"
84.94930778460395,0.19198822344112448,historical,ldl,"84.9 (84.6,85.3)"
