Estimate,SE,dfcom,LCI,UCI,term,exposure,modifier,exposure_value,modifier_value,outcome
0,0,1230596,0,0,Contrast 2,COHORThistorical,t,1,0,bmi
0.26891239935148703,0.0351951314061817,1230596,0.1999299417953709,0.3378948569076031,Contrast 2,COHORTexposed,t,1,0,bmi
0.20337467876291485,0.027416797062527972,1230596,0.14963775652036002,0.25711160100546965,Contrast 2,COHORTunexposed,t,1,0,bmi
0.029825396207074768,0.0074860842487774965,1230596,0.015152671079470876,0.04449812133467866,Contrast 2,COHORThistorical,t,1,100,bmi
0.23867010844142206,0.025980351789254633,1230596,0.18774861893448297,0.28959159794836115,Contrast 2,COHORTexposed,t,1,100,bmi
0.13811268840250843,0.021903340387848788,1230596,0.0951821412423248,0.18104323556269206,Contrast 2,COHORTunexposed,t,1,100,bmi
